tipo,durataextra
xolqevfqeyq,31
naxxakixjjg,63
neanewcdtad,79
prltshjcggm,30
owwrttouzyb,63
swvtqbnbnts,75
zvrbnjqxqca,55
akmpxqiiadc,81
bwefddmdkdc,17
irgqvdfgwos,75
ywuwlbygkjr,35
bohjpvnutuw,87
fuxwmnoulpq,1
jnfzlerckvd,26
xjyalloqpin,65
eqluyxuvraz,24
okvorxylfwn,3
nopcsxlzmgl,10
wbxjwsvvpbo,15
tlgadviltno,61
enlbdbvrexs,91
jwadkkxizyp,56
iztlcklblwp,17
qikhelubvis,87
qqwmfxzxlly,44
zaoyjggqayi,41
oljvbdacvnj,18
mxmhkirmvwm,60
hprgucvxjqy,24
pjfpxmeajws,90
aqbcrbkoluk,3
jikdvqnadri,6
gieegwyjelh,97
kgcbawtxzrr,97
xpbwojffczv,13
otmikrozncq,21
vcdbfirehmp,65
syyzknnyrkb,26
zwhatxdkosc,11
jlszkyrczyl,19
ucqaevajcfv,20
xjskcwoapkh,90
xgpubhrlbqn,40
gcwcjzcuxiv,99
kfftnusklyt,84
itodjfuhhdo,73
wotfsyoyrjk,98
vsfpqsiquau,54
gpeebykkwby,22
kpjqorgyutt,80
yqjcgpqrjfe,15
bftytvhoesx,21
myjasjnzbei,42
amxgcmfgzwk,99
wrfwcjiwhrc,66
cfxltktmcye,99
qnfhvnoqzfd,35
hwmhhlysvzp,73
wqzwwuzhvjl,48
aazirlpbgba,65
phqyszfhsvd,1
qrzjlkunfmb,1
fylqguvjvcv,62
ksnaxsdbhxv,25
vllptedyzxk,23
ccmxjikmxke,77
pamfyrnjaos,74
iphlrgojfzt,25
whhjmocxggg,63
kkvhnwnexas,79
eedzeszjgmj,78
kdoqaafrwfp,5
mmuujkvxwkg,92
asudtsiyjxb,83
bihfrzthobr,10
lajeuznhcec,55
zrptgtxrrpf,70
vtzjyyoarhp,12
rkqfaaxjqfk,32
ixmfnhmewlw,93
ppbxazedjde,56
belgtnajzes,77
yjrcesoftyh,55
mvazchaokvr,69
lhrqjllchou,61
ziwhbdopodl,60
naizwdztgxg,54
mfdmtrvsutn,1
jpwhogqwzjz,12
tswghdnylyp,15
wmogmrfqfhr,9
kssosigyumd,99
apumuolzulk,90
fgddbgqywiw,3
simnezwiwgg,57
xlmkxkouind,18
phcbgrxrykq,29
vxwdtnueglx,60
xktsgkwqkjq,65
wjhkyehdqur,6
brmnebmglso,18
hckmktgkimn,86
hcbgklqrbmk,79
vxlaejvcjmk,33
vksbctxzqux,25
gqwfhzzipuo,65
rdpsebqbcth,44
dtxzrxlyqpl,61
yvmtchtbewh,14
toltuyhoubu,75
bjnwjnebhll,42
cztokcmflgk,100
ixovaebvwuu,38
xykfxqkzcjt,94
yonaomdilyb,68
lzifhmocezr,7
fvmadviixhb,89
srxpbciaidl,21
pwxpsyacvdy,46
leddpyblenl,81
qttaknyyfyf,48
qmlyajggvrr,57
fbbqkltlado,6
ypctjavtvkz,24
vctqphhdeth,40
oxxtzmompxx,69
xviiofpngli,70
whcxnazilfm,41
ztnlqhpjnce,18
ltxfnhmkbqs,90
yqdbctqwsun,99
kbgoohznzwm,79
dmabcgksete,12
hckvqegsqnr,21
oxeqwdkynqj,66
wjwifvahnjv,62
pyyaedrgfpb,54
sewgznbpbjk,95
fepyhtkboaz,49
gujhlfgxtyg,30
ssiwygvrihh,88
tgwmpjualfj,49
ljvosyrnncu,62
logxvthqqyu,25
kkvnrsjufvd,42
lzjwjeuwtbs,22
vuldofloogs,63
ryqsqhtmzqz,14
lymcsnzuhgl,49
sphxwipbtee,58
vigkacrnccy,45
qqbfqnrosfn,59
egatzmktxjz,1
otdrodvsdpk,9
ciqkphdduvt,80
guyamfekbyh,35
nmnmjkfgphf,41
mowfkafylip,98
vyjtrigxehc,43
prpjmlcqzwe,74
ruiytnxohvw,100
dwkylpecsfe,15
wrsbdkuvfew,1
ihetrusnmok,26
zzrbwbvufkb,98
ajkmdrxrran,14
cldelbvnnvg,17
nevgfhnkghr,22
rjtzdjuxdnh,23
ihuxkjhylbm,7
lqtkghpyigr,35
coawmieyiwq,98
zhfhtmwukzd,88
lspoytreoma,8
rprvextwbmo,2
llotupffsqf,42
bsifsoxdydu,71
azldlfalymy,7
zaoyfnbtnic,29
dgvevwvdxij,67
zlhcjxwhuct,10
jjkyqllvxvr,82
biywubzhyja,24
nxngxhfiuhh,36
yoankabdfld,11
lxnzjxlcmen,23
ntdomshjekm,75
zcycypnbeut,1
aqflgtnupvr,27
vanslttjdnm,72
exfowgiipzf,71
evwojvxbexb,21
oqljbptiadm,18
kdkxlepeemp,91
wzncuunldpl,54
kchogaffspv,64
lmqjjxsuiio,73
yjspccllhmy,41
dhbpalggrub,73
tdqolfjfqkp,27
qifzlgfsnog,24
gzkfmhghcur,2
eesgvzamtui,40
fgbqmxzcwhy,80
xmzbrjziykb,67
yxvgdbtgjht,93
gdeudnxwklu,97
bkljqxrupoe,80
prtbmeqfldr,1
kmgqwttnuzl,9
kfykizixkcl,22
gbuqabdxmai,43
dqbugcrfhfu,24
fhjkcifnxar,72
jgdstnmflfy,48
fsyofhodbdt,68
nzdkepugjrl,35
umrisinfsey,9
xuqwsztwphz,56
haxmjfuinzc,74
qzpdfyuudoy,60
jjswzlmcmlj,90
mvpajbgkunp,53
xwjrzxzbmxl,14
kytlrcqastp,30
qadmryerkod,97
eicpiqcamxr,50
wbxzokfqyil,76
ulvfsxqxwmi,22
cqfymucveyp,3
oglukzyevdf,80
dccvqotjtsq,99
lsumpwrbffi,99
ywnixswjsml,45
pfzyrzgebtn,39
kjpwpzzilci,64
zxtcfjhnjzk,1
llgjlqacolq,42
fnvsrkswtfu,83
ypzxaddqjvg,94
vblwlayrqub,44
cttegjboxfj,97
plcfhwkmkot,76
dbjcbgatgxw,100
gtttzckdwgn,76
ezgromlegqv,78
hwhgmyvpktl,97
jyvkjtkcaqe,87
wpgqtmotkus,2
dsvkmsfjhgi,90
faizvbwfvtx,96
rfjvwtsfybj,20
tcftwzwjdgo,25
xryzrsiufax,63
djfimqjpyrm,35
qemawgsvmkk,92
dxaadcluyka,72
jdrrqlauuvi,92
ossxnirvkxy,37
vsucunqtbal,48
zpxlrxhkfnd,82
wuwxfenkzdp,39
qmibkltpnjm,21
mcnizaspyes,14
nuozehcrabw,4
seusaooqcuc,47
vqvmfxelfkw,9
bxiakmkiose,41
bxzhcehofzc,19
mtjiwdnretz,62
mfglkqcovun,5
sygykdvddke,29
boswyydpbkk,23
bzrmyrywwya,49
slvwjmdxkno,88
nrsnbxrafzb,1
bhgvsdobnkb,37
ufpwwxjgpyg,22
hodsbaswoek,63
eivkcjjmsvm,46
vnumperuklk,2
zqymcbdnoic,28
eulwyyivgxb,13
ayqoseydljm,7
trubwwmbmgp,38
szmxwuchkdq,1
auipdrovbys,6
yaysxxukaca,80
gjztvainvxg,28
hosjjoscukz,12
cqyblhshlvh,71
urmqetdzpvd,41
hzqxlvyayks,20
anmhqirrvgk,58
hnuktlqaczp,29
ermrvovbvyw,26
zkidbwaktwc,99
yfoklqepxfq,8
hldmqsvcrpk,13
nunxdniumeb,63
nxjhpopuque,40
nqpqnjjdcmf,63
dwnaynxfecu,81
bcahihgeojy,92
pcceqwpojhz,46
qsfvlitrskb,75
stxybidksvj,80
tqwyqplexve,40
llgkaorgyua,27
yfwaroriuce,67
dulqepsiuxe,73
jamyvxkcogr,84
pticenztzuk,77
qxjdyaegpkq,11
kmtjwvqcbuk,32
blvlffcyzaz,80
jhcwywwmcon,8
nowtgqkzlnt,40
wubtqmomwwf,36
ajxfusvofew,95
ljswrgqkltb,2
jujwabrdpay,34
uqkggzmiswr,48
kixeetfxwdi,2
ghexxgpbksr,28
qlbxhnfbveu,4
yvmtjocbyeg,87
grstrwkklcl,51
xwivlbbdoku,87
hselqylfrzp,33
wloqrmlhhxb,44
ssxwjfbczfx,47
djzoqdhresj,61
duowjtvhagx,76
xucuhaczqna,18
rkcvefrzcqm,86
zwkvnplnhfo,62
qiwwwmjjplv,61
pdalcbuboav,30
klywxlfxweq,36
zbzjydxgpyb,92
icirpqxevjt,72
ylvfnxdehuj,61
tlspgfohidt,95
xwdvecisjuz,46
tspjpywbbdl,57
vczwuhhrjts,27
fsbecsfdfnc,33
celvcdbjica,66
pueybqqokis,88
vekxndfchqp,61
lbcfzmclopj,15
gbtjnmhlsmj,20
mcpkzzkvmcb,42
uhajsakezfz,61
mgyespdzkoj,74
annusuyyjcy,34
rkqaspgjmyy,41
rnadzsbxldx,98
xklewulqauf,28
ozzcfjcdiex,77
qtpkblauznl,52
utwoejrfcyn,15
wnebubrqsqa,1
tauctrgpkyh,5
kupcaetmiax,73
hyskiufebtg,43
baxqlgkveul,67
jnfoygdtbjo,20
gtvgnxxakme,58
xkxbdnwppms,11
zzmzhabbyfn,12
zjwbkxgsrzu,82
wykvmlccnxd,75
dwnpitscngv,34
qpxcobwkdwv,47
zkqsakmetfk,65
pfhajaupljd,50
lfohyeqqlue,8
jrdyhlbjgwo,76
jfpanpdorek,35
ugvuyevjmhr,75
jdrtqhwskjz,65
zlvmdtszyfe,59
vrsgnxcsios,97
ibypsftimwg,3
deevnyvxbmx,73
rngvqpxpfec,97
jprxeepxvnk,70
dwizjxsohvk,77
uvupmvinzom,41
zeurntzkvcj,61
bimsvsxmmzi,97
ksgibreenhm,5
vrwiagpiwqx,42
qktlkfmvjzy,83
xcitmcvhwia,85
jgssnsoyxat,22
ymqvwaighpf,47
qjoxqasplle,91
azihvqjqrkb,28
wubawcaogbe,31
vkqktuavshs,44
xwnwzsxdvsh,2
ioopecoasek,52
ezjimezljtg,38
wqjghiiiaad,39
ixfxxlplkpt,49
bsrdqwsjroa,74
wdnzbnkdxej,74
xzfxnjnphqe,42
iynbsvnusta,89
uuhxyuvnrrb,46
